,original_title
588,The Bowling Alley-Cat
589,Bugs Bunny Gets the Boid
590,The Bulleteers
591,Casablanca
592,Case of the Missing Hare
593,Cat People
594,The Dawn Express
595,Eyes in the Night
596,The Falcon Takes Over
597,The Falcon's Brother
598,Fine Feathered Friend
599,Flying Tigers
600,For Me and My Gal
601,The Gay Sisters
602,The Ghost of Frankenstein
603,Grand Central Murder
604,The Great Man's Lady
605,Holiday Inn
606,Hurricane Smith
607,I Married a Witch
608,In Which We Serve
609,Invisible Agent
610,Japoteurs
611,Journey Into Fear
612,Keeper of the Flame
613,Kid Glove Killer
614,Kings Row
615,The Mad Monster
616,The Magnificent Ambersons
617,La main du diable
618,The Moon and Sixpence
619,The Mummy's Tomb
620,Night Monster
621,Night Plane from Chungking
622,"Now, Voyager"
623,The Palm Beach Story
624,Panama Hattie
625,Prelude to War
626,The Pride of the Yankees
627,Random Harvest
628,Raza
629,Road to Morocco
630,Seven Days' Leave
631,Sherlock Holmes and the Secret Weapon
632,Son of Fury: The Story of Benjamin Blake
633,Tales of Manhattan
634,The Talk of the Town
635,Kate & Leopold
636,Went the Day Well?
637,This Gun for Hire
638,Thunder Rock
639,To Be or Not to Be
640,Tortilla Flat
641,Les visiteurs du soir
642,Woman of the Year
643,Yankee Doodle Dandy
644,The Adventures of Tartu
645,Aerial Gunner
646,Apache Trail
647,The Ape Man
648,Baby Puss
649,Background to Danger
650,Bataan
651,Calling Dr. Death
652,Captive Wild Woman
653,Cinderella Swings It
654,Le corbeau
655,Cry 'Havoc'
656,Daffy - The Commando
657,Der Fuehrer's Face
658,Destination Tokyo
659,Doña Bárbara
660,The Falcon Strikes Back
661,The Falcon and the Co-eds
662,The Falcon in Danger
663,The Fallen Sparrow
664,Falling Hare
665,Five Graves to Cairo
666,Flesh and Fantasy
667,For Whom the Bell Tolls
668,Frankenstein Meets the Wolf Man
669,The Ghost Ship
670,'Gung Ho!': The Story of Carlson's Makin Island Raiders
671,A Guy Named Joe
672,Happy Land
673,Heaven Can Wait
674,I Dood It
675,I Walked with a Zombie
676,Immortal Sergeant
677,In Old Oklahoma
678,Isle of Forgotten Sins
679,Jungle Drums
680,Keep 'Em Slugging
681,The Leopard Man
682,The Life and Death of Colonel Blimp
683,The Lonesome Mouse
684,Madame Curie
685,The Man in Grey
686,Minesweeper
687,Mission to Moscow
688,The More the Merrier
689,Mystery of the 13th Guest
690,Münchhausen
691,A Night for Crime
692,Northern Pursuit
693,Old Acquaintance
694,The Outlaw
695,The Ox-Bow Incident
696,Phantom Lady
697,Pigs in a Polka
698,Red Hot Riding Hood
699,Revenge of the Zombies
700,Salute to the Marines
701,Scrap Happy Daffy
702,The Seventh Victim
703,Shadow of a Doubt
704,Sherlock Holmes Faces Death
705,Sherlock Holmes in Washington
706,So Proudly We Hail!
707,Son of Dracula
708,The Song of Bernadette
709,Submarine Alert
710,Sufferin' Cats!
711,Tortoise Wins by a Hare
712,Watch on the Rhine
713,Western Cyclone
714,The Wise Quacking Duck
715,Yankee Doodle Daffy
716,Arsenic and Old Lace
717,Atlantic City
718,Barbary Coast Gent
719,Bathing Beauty
720,Brazil
721,Buckaroo Bugs
722,Bugs Bunny and the Three Bears
723,A Canterbury Tale
724,The Canterville Ghost
725,Cheyenne Wildcat
726,Christmas Holiday
727,Cobra Woman
728,The Conspirators
729,Duck Soup to Nuts
730,English Without Tears
731,The Falcon Out West
732,The Falcon in Mexico
733,The Fighting Seabees
734,Gaslight
735,Gents Without Cents
736,The Best Years of Our Lives
737,Hare Ribbin'
738,Home in Indiana
739,House of Frankenstein
740,I'll Be Seeing You
741,The Invisible Man's Revenge
742,Jane Eyre
743,Johnny Doesn't Live Here Anymore
744,The Lady and the Monster
745,Lady in the Dark
746,Lady in the Death House
747,Laura
748,Lifeboat
749,Little Red Riding Rabbit
750,The Mask of Dimitrios
751,Meet Me in St. Louis
752,The Million Dollar Cat
753,Ministry of Fear
754,The Miracle of Morgan's Creek
755,Mouse Trouble
756,Mr. Skeffington
757,Mrs. Parkington
758,The Mummy's Curse
759,The Mummy's Ghost
760,"Murder, My Sweet"
761,Nabonga
762,None But the Lonely Heart
763,None Shall Escape
764,Passage to Marseille
765,The Pearl of Death
766,Pin Up Girl
767,Plane Daffy
768,The Princess and the Pirate
769,The Purple Heart
770,Raiders of Ghost City
771,The Return of the Vampire
772,Russian Rhapsody
773,The San Antonio Kid
774,The Scarlet Claw
775,Seven Doors to Death
776,The Seventh Cross
777,Sheriff of Las Vegas
778,The Spider Woman
779,Springtime for Pluto
780,Strangers in the Night
781,The Sullivans
782,The Thin Man Goes Home
783,Thirty Seconds Over Tokyo
784,To Have and Have Not
785,The Uninvited
786,Voice in the Wind
787,What's Cookin' Doc?
788,The Woman in the Window
789,The Zoot Cat
790,Zorro's Black Whip
791,Ain't That Ducky
792,Along the Navajo Trail
793,Anchors Aweigh
794,And Then There Were None
795,Back to Bataan
796,Blood on the Sun
797,The Body Snatcher
798,Brief Encounter
799,The Bullfighters
800,Captain Kidd
801,Christmas in Connecticut
802,Conflict
803,Les dames du Bois de Boulogne
804,Dillinger
805,Doll Face
806,The Falcon in San Francisco
807,Flame of Barbary Coast
808,The Great Flamarion
809,Hangover Square
810,Hare Conditioned
811,Hare Tonic
812,Hare Trigger
813,Herr Meets Hare
814,The Horn Blows at Midnight
815,Hotel Berlin
816,House of Dracula
817,The House of Fear
818,The House on 92nd Street
819,Incendiary Blonde
820,Ivan Groznyy
821,Lady on a Train
822,Leave Her to Heaven
823,The Lost Weekend
824,Marshal of Laredo
825,Mildred Pierce
826,The Mouse Comes to Dinner
827,Mouse in Manhattan
828,My Name Is Julia Ross
829,"Objective, Burma!"
830,The Picture of Dorian Gray
831,The Purple Monster Strikes
832,Quiet Please!
833,Road to Utopia
834,San Antonio
835,Saratoga Trunk
836,Scarlet Street
837,Son of Lassie
838,The Spanish Main
839,Spellbound
840,Story of G.I. Joe
841,Swing Shift Cinderella
842,Tee for Two
843,They Were Expendable
844,The Three Caballeros
845,A Tree Grows in Brooklyn
846,Wagon Heels
847,The Way to the Stars
848,The Woman in Green
849,Wonder Man
850,13 Rue Madeleine
851,Anmol Ghadi
852,Baby Bottleneck
853,Bacall to Arms
854,Badman's Territory
855,Baseball Bugs
856,Behind Green Lights
857,The Big Sleep
858,The Big Snooze
859,Black Angel
860,Blithe Spirit
861,The Blue Dahlia
862,Boston Blackie and the Law
863,A Boy and His Dog
864,The Brute Man
865,Canyon Passage
866,Courage of Lassie
867,Dark Alibi
868,The Dark Corner
869,The Dark Mirror
870,Deadline at Dawn
871,Decoy
872,Duel in the Sun
873,The Falcon's Alibi
874,Gilda
875,Great Expectations
876,Hair-Raising Hare
877,Home on the Range
878,House of Horrors
879,Humoresque
880,The Inner Circle
881,It's a Wonderful Life
882,Kamennyy tsvetok
883,Kitty Kornered
884,The Locket
885,The Madonna's Secret
886,A Matter of Life and Death
887,The Milky Waif
888,Monsieur Beaucaire
889,My Darling Clementine
890,Mysterious Intruder
891,Die Mörder sind unter uns
892,Northwest Hounded Police
893,Notorious
894,La otra
895,Racketeer Rabbit
896,Rigoletto
897,A Scandal in Paris
898,Secret of the Whistler
899,The Seventh Veil
900,Shadowed
901,So Dark the Night
902,So Goes My Love
903,Solid Serenade
904,The Spiral Staircase
905,Springtime for Thomas
906,Stagecoach to Denver
907,The Strange Love of Martha Ivers
908,The Strange Woman
909,Tarzan and the Leopard Woman
910,Terror by Night
911,They Made Me a Killer
912,Three Strangers
913,Till the End of Time
914,The Time of Their Lives
915,To Each His Own
916,Tomorrow Is Forever
917,Trap Happy
918,Walky Talky Hawky
919,Willie the Operatic Whale
920,The Yearling
921,Angel and the Badman
922,The Arnelo Affair
923,The Bachelor and the Bobby-Soxer
924,Birth of a Notion
925,The Bishop's Wife
926,Blanche Fury
927,Bowery Buckaroos
928,Brute Force
929,Bury Me Dead
930,Captain from Castile
931,The Cat Concerto
932,Cheyenne
933,The Chinese Ring
934,Dark Passage
935,Desire Me
936,Dick Tracy Meets Gruesome
937,Dick Tracy's Dilemma
938,Dishonored Lady
939,Donald's Dilemma
940,Dr. Jekyll and Mr. Mouse
941,Easter Yeggs
942,The Exile
943,Fear in the Night
944,Fun & Fancy Free
945,The Gangster
946,Germania anno zero
947,Golden Earrings
948,Gunfighters
949,Hard Boiled Mahoney
950,High Tide
951,High Wall
952,I Walk Alone
953,I'll Be Yours
954,Les jeux sont faits
955,King-Size Canary
956,Lady in the Lake
