,original_title
2819,Die bitteren Tränen der Petra von Kant
2820,Black Girl
2821,Blacula
2822,Bless the Beasts & Children
2823,Blood from the Mummy's Tomb
2824,Blood of Ghastly Horror
2825,Brian's Song
2826,Buck and the Preacher
2827,Cabaret
2828,Cancel My Reservation
2829,The Valachi Papers
2830,Le charme discret de la bourgeoisie
2831,Children Shouldn't Play with Dead Things
2832,Il coltello di ghiaccio
2833,Conquest of the Planet of the Apes
2834,Cosa avete fatto a Solange?
2835,The Cowboys
2836,The Creeping Flesh
2837,The Cross and the Switchblade
2838,Los amigos
2839,Dead of Night
2840,Death Line
2841,Deliverance
2842,Dr Jekyll & Sister Hyde
2843,Dr. Phibes Rises Again
2844,Dracula A.D. 1972
2845,E poi lo chiamarono il magnifico
2846,Si può fare... amigo
2847,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask
2848,Fat City
2849,Fear Is the Key
2850,La fille de Dracula
2851,Flesh Gordon
2852,Frenzy
2853,Fritz the Cat
2854,Frogs
2855,Ganja & Hess
2856,The Getaway
2857,The Godfather
2858,The Gore Gore Girls
2859,El gran amor del conde Drácula
2860,Le grand blond avec une chaussure noire
2861,Il grande duello
2862,The Great Northfield Minnesota Raid
2863,The Groundstar Conspiracy
2864,Hannie Caulder
2865,High Plains Drifter
2866,Home for the Holidays
2867,Horror Express
2868,Tower of Evil
2869,Images
2870,Jeremiah Johnson
2871,Jing wu men
2872,Joe Kidd
2873,Junior Bonner
2874,Kozure Ôkami: Sanzu no kawa no ubaguruma
2875,Kozure Ôkami: Shinikazeni mukau ubaguruma
2876,Lady Sings the Blues
2877,The Last House on the Left
2878,Lisa e il diavolo
2879,Man of La Mancha
2880,The Mechanic
2881,Melinda
2882,Meng long guo jiang
2883,Mimì metallurgico ferito nell'onore
2884,Moon of the Wolf
2885,The New Centurions
2886,The Night Strangler
2887,Night of the Lepus
2888,The Nightcomers
2889,Non si sevizia un paperino
2890,La orgía nocturna de los vampiros
2891,Gli orrori del castello di Norimberga
2892,Pete 'n' Tillie
2893,Pink Flamingos
2894,"Play It Again, Sam"
2895,The Poseidon Adventure
2896,Private Parts
2897,Una ragione per vivere e una per morire
2898,Rivelazioni di un maniaco sessuale al capo della squadra mobile
2899,Savages
2900,Hungry Wives
2901,Skyjacked
2902,Slaughter
2903,Slaughterhouse-Five
2904,Sleuth
2905,Snoopy Come Home
2906,Solyaris
2907,The Stone Tape
2908,They Only Kill Their Masters
2909,The Thing with Two Heads
2910,Travels with My Aunt
2911,Estratto dagli archivi segreti della polizia di una capitale europea
2912,Il tuo vizio è una stanza chiusa e solo io ne ho la chiave
2913,Twins of Evil
2914,Ulzana's Raid
2915,Un verano para matar
2916,Viskningar och rop
2917,"You're Not Elected, Charlie Brown"
2918,Z.P.G.
2919,Zanna Bianca
2920,Moonbase 3
2921,Semnadtsat mgnoveniy vesny
2922,American Graffiti
2923,The Asphyx
2924,La comtesse noire
2925,Les aventures de Rabbi Jacob
2926,Baba Yaga
2927,The Baby
2928,Badlands
2929,Bang the Drum Slowly
2930,Battle for the Planet of the Apes
2931,Beyond Atlantis
2932,Black Caesar
2933,Blackenstein
2934,Breezy
2935,"Fratello sole, sorella luna"
2936,Cahill U.S. Marshal
2937,The Candy Snatchers
2938,Carry on Girls
2939,Charley Varrick
2940,Charley and the Angel
2941,Cleopatra Jones
2942,Coffy
2943,I corpi presentano tracce di violenza carnale
2944,La tumba de la isla maldita
2945,Dark Star
2946,The Day of the Jackal
2947,Il paese del sesso selvaggio
2948,The Forgotten
2949,Don't Look Now
2950,Don't Play Us Cheap
2951,Dracula
2952,Dying Room Only
2953,Les démoniaques
2954,Electra Glide in Blue
2955,Emperor of the North Pole
2956,Enter the Dragon
2957,El espanto surge de la tumba
2958,Executive Action
2959,The Exorcist
2960,Der Fluch der schwarzen Schwestern
2961,40 Carats
2962,Frank Film
2963,Frankenstein: The True Story
2964,The Friends of Eddie Coyle
2965,From Beyond the Grave
2966,The Girl Most Likely to...
2967,Gojira tai Megaro
2968,La grande bouffe
2969,The Harder They Come
2970,Heavy Traffic
2971,The House in Nightmare Park
2972,The Iceman Cometh
2973,Invasion of the Bee Girls
2974,Isn't It Shocking?
2975,Jeremy
2976,Jesus Christ Superstar
2977,The Killing Kind
2978,The Last of Sheila
2979,The Legend of Hell House
2980,The Legend of the 7 Golden Vampires
2981,Lemora: A Child's Tale of the Supernatural
2982,Anderusen dôwa ningyo-hime
2983,Live and Let Die
2984,Lolly-Madonna XXX
2985,The Long Goodbye
2986,The Mack
2987,The MacKintosh Man
2988,Magnum Force
2989,Mean Streets
2990,O Lucky Man!
2991,The Offence
2992,Paper Moon
2993,Papillon
2994,Pat Garrett & Billy the Kid
2995,Phase IV
2996,La planète sauvage
2997,Il plenilunio delle vergini
2998,A Reflection of Fear
2999,El retorno de Walpurgis
3000,Sssssss
3001,The Satanic Rites of Dracula
3002,Scorpio
3003,Scream Bloody Murder
3004,Scream Blacula Scream
3005,Serpico
3006,The Seven-Ups
3007,The Severed Arm
3008,Siddhartha
3009,Night of the Dark Full Moon
3010,Sisters
3011,Slaughter's Big Rip-Off
3012,Sleeper
3013,Soylent Green
3014,The Spook Who Sat by the Door
3015,The Sting
3016,Tales That Witness Madness
3017,A Thief in the Night
3018,Tom Sawyer
3019,Trick Baby
3020,Turks fruit
3021,Ultimo tango a Parigi
3022,Under Milk Wood
3023,The Vault of Horror
3024,A Warm December
3025,The Way We Were
3026,Welt am Draht
3027,Westworld
3028,The Wicker Man
3029,The World's Greatest Athlete
3030,Yaadon Ki Baaraat
3031,Zanjeer
3032,Zardoz
3033,Airport 1975
3034,Amarcord
3035,Angst essen Seele auf
3036,Bad Ronald
3037,The Bat People
3038,The Beast Must Die
3039,Chi sei?
3040,Big Bad Mama
3041,Black Belt Jones
3042,Black Christmas
3043,The Black Windmill
3044,Blazing Saddles
3045,Blood for Dracula
3046,Born Innocent
3047,Borsalino and Co.
3048,Bring Me the Head of Alfredo Garcia
3049,Buster and Billie
3050,The California Kid
3051,California Split
3052,Cani arrabbiati
3053,Captain Kronos - Vampire Hunter
3054,Carry on Dick
3055,Chinatown
3056,Claudine
3057,The Conversation
3058,Coonskin
3059,The Dead Don't Die
3060,Messiah of Evil
3061,Death Sentence
3062,Death Wish
3063,The Marseille Contract
3064,Double Agent 73
3065,Earthquake
3066,Le fantôme de la liberté
3067,Flesh for Frankenstein
3068,Foxy Brown
3069,Frankenstein and the Monster from Hell
3070,Freebie and the Bean
3071,Frightmare
3072,The Front Page
3073,The Godfather: Part II
3074,The Golden Voyage of Sinbad
3075,Himiko
3076,La montaña sagrada
3077,House of Whipcord
3078,The Intruders
3079,The Island at the Top of the World
3080,"Jakob, der Lügner"
3081,Jeder für sich und Gott gegen alle
3082,Killdozer
3083,Klansman
3084,Lacombe Lucien
3085,Lost in the Stars
3086,Lovin' Molly
3087,Macon County Line
3088,Majboor
3089,Mame
3090,The Man with the Golden Gun
3091,McQ
3092,Monty Python and the Holy Grail
3093,Mr. Majestyk
3094,Murder on the Orient Express
3095,Il portiere di notte
3096,The Nine Lives of Fritz the Cat
3097,The Odessa File
3098,Once
3099,The Outfit
3100,The Parallax View
3101,Phantom of the Paradise
3102,La polizia chiede aiuto
3103,Que la fête commence...
3104,Il ritorno di Zanna Bianca
3105,Shriek of the Mutilated
3106,Space Is the Place
3107,The Spikes Gang
3108,The Sugarland Express
3109,The Super Cops
3110,"Svoy sredi chuzhikh, chuzhoy sredi svoikh"
3111,Sweet Movie
3112,The Taking of Pelham One Two Three
3113,The Tamarind Seed
3114,The Terminal Man
3115,The Texas Chain Saw Massacre
3116,The Three Musketeers
3117,Three the Hard Way
3118,Thunderbolt and Lightfoot
3119,The Towering Inferno
3120,The Trial of Billy Jack
3121,Truck Turner
3122,Vampyres
3123,Vase de noces
3124,Where Have All the People Gone
3125,Where the Red Fern Grows
3126,Willie Dynamite
3127,Winnie the Pooh and Tigger Too
3128,A Woman Under the Influence
3129,Young Frankenstein
3130,Zerkalo
3131,Ziemia obiecana
3132,Zaat
3133,Barry Lyndon
3134,"Be My Valentine, Charlie Brown"
3135,The Black Bird
3136,Black Moon
3137,Boss Nigger
3138,A Boy and His Dog
3139,Brannigan
3140,Breakheart Pass
3141,Bug
3142,La bête
3143,Chhoti Si Baat
3144,Conduct Unbecoming
3145,"Cornbread, Earl and Me"
3146,Criminally Insane
3147,Death Race 2000
3148,I Don't Want to Be Born
3149,Doc Savage: The Man of Bronze
3150,Dog Day Afternoon
3151,Les 12 travaux d'Astérix
3152,Du bi quan wang da po xue di zi
3153,Escape to Witch Mountain
3154,F for Fake
3155,Female Trouble
3156,The Four Musketeers
3157,French Connection II
3158,The Ghoul
3159,The Giant Spider Invasion
3160,Giliap
3161,The Happy Hooker
3162,Hard Times
3163,Hester Street
3164,The Hiding Place
3165,L'histoire d'Adèle H.
3166,Histoire d'O
3167,Les innocents aux mains sales
3168,Inserts
3169,Jaws
3170,The Killer Elite
3171,Lèvres de sang
3172,Ma Ge Bo Luo
3173,Mackintosh and T.J.
3174,Mahogany
3175,The Man Who Would Be King
3176,Mandingo
3177,Maynila: Sa mga kuko ng liwanag
3178,Mekagojira no gyakushu
3179,Murder on Flight 502
3180,Nashville
3181,Nishant
3182,Nude per l'assassino
3183,One Flew Over the Cuckoo's Nest
3184,Peur sur la ville
3185,Double Exposure
3186,Picnic at Hanging Rock
3187,Profondo rosso
3188,I quattro dell'apocalisse
3189,Race with the Devil
3190,The Reincarnation of Peter Proud
3191,Report to the Commissioner
3192,Revolver
3193,The Rocky Horror Picture Show
3194,Rollerball
3195,Rooster Cogburn
3196,Rudolph's Shiny New Year
3197,Salò o le 120 giornate di Sodoma
3198,Satan's Triangle
3199,Shao Lin men
3200,Shivers
3201,Sholay
3202,The Stepford Wives
3203,Gekitotsu! Satsujin ken
3204,The Sunshine Boys
3205,Supervixens
3206,O thiasos
3207,Three Days of the Condor
3208,Tommy
3209,The UFO Incident
3210,Le vieux fusil
3211,Walking Tall Part II
3212,White Line Fever
3213,The Wind and the Lion
3214,The Yakuza
3215,"You're a Good Sport, Charlie Brown"
3216,"Aloha, Bobby and Rose"
3217,Quincy M.E.
3218,Novecento
3219,Alice ou la dernière fugue
3220,All the President's Men
3221,Assault on Precinct 13
3222,The Big Bus
3223,Blood Bath
3224,Bugsy Malone
3225,Cannonball!
3226,Carrie
3227,Il Casanova di Federico Fellini
3228,Chinesisches Roulette
3229,Cría cuervos
3230,Death Machines
3231,Death at Love House
3232,Don's Party
3233,Drive In Massacre
3234,Drum
3235,The Eagle Has Landed
3236,Eaten Alive
3237,Eleanor and Franklin
3238,Embryo
3239,Eraserhead
3240,An Evening in Paris
3241,Der Fangschuß
3242,From Noon Till Three
3243,Futureworld
3244,Gable and Lombard
3245,Gator
3246,L'ultima orgia del III Reich
3247,Grizzly
3248,Full Circle
3249,Hot Potato
3250,"Hugó, a víziló"
3251,"Ilsa, Harem Keeper of the Oil Sheiks"
3252,Cross of Iron
3253,J.D.'s Revenge
3254,The Killing of a Chinese Bookie
3255,The Last Tycoon
3256,The Lindbergh Kidnapping Case
3257,Lipstick
3258,The Little Girl Who Lives Down the Lane
3259,Le locataire
3260,Logan's Run
3261,La lupa mannara
3262,The Man Who Fell to Earth
3263,Mannen på taket
3264,Marathon Man
3265,Massacre at Central High
3266,Mean Johnny Barrows
3267,The Missouri Breaks
3268,Mosquito der Schänder
3269,"Mother, Jugs & Speed"
3270,Murder by Death
3271,Network
3272,"No Deposit, No Return"
3273,Noroît
3274,Obsession
3275,The Omen
3276,The Outlaw Josey Wales
3277,The Pink Panther Strikes Again
3278,Robin and Marian
3279,Rocky
3280,The Sailor Who Fell from Grace with the Sea
3281,Satan's Slave
3282,The Seven-Per-Cent Solution
3283,Shao Lin mu ren xiang
3284,Shao Lin Si shi ba tong ren
3285,The Shootist
3286,Silent Movie
3287,Silver Streak
3288,The Slipper and the Rose: The Story of Cinderella
3289,Squirm
3290,A Star Is Born
3291,Stroszek
3292,Sybil
3293,Taxi Driver
3294,The Town That Dreaded Sundown
3295,Up!
3296,The Van
3297,Victory at Entebbe
3298,W.C. Fields and Me
3299,Az ötödik pecsét
3300,Logan's Run
3301,3 Women
3302,Sette note in nero
3303,Airport '77
3304,Schock
3305,Amar Akbar Anthony
3306,Der amerikanische Freund
3307,Bad
3308,L'animal
3309,Annie Hall
3310,Billy Jack Goes to Washington
3311,Black Sunday
3312,Breaker! Breaker!
3313,A Bridge Too Far
3314,C'eravamo tanto amati
3315,The Car
3316,Cet obscur objet du désir
3317,The Child
3318,Ciao maschio
3319,Close Encounters of the Third Kind
3320,Count Dracula
3321,The Crater Lake Monster
3322,Curse of the Black Widow
3323,Damnation Alley
3324,Death Weekend
3325,The Deep
3326,God Told Me To
3327,Demon Seed
3328,Desperate Living
3329,Diabolo menthe
3330,Dites-lui que je l'aime
3331,The Duellists
3332,Emanuelle e gli ultimi cannibali
3333,Equus
3334,Exorcist II: The Heretic
3335,Final Chapter: Walking Tall
3336,The Goodbye Girl
3337,High Anxiety
3338,Communion
3339,Hum Kisise Kum Naheen
3340,Hong Xi Guan
3341,March or Die
3342,In nome del papa re
3343,The Incredible Melting Man
3344,"It's Your First Kiss, Charlie Brown"
3345,Jubilee
3346,Jäniksen vuosi
3347,The Kentucky Fried Movie
3348,Kingdom of the Spiders
3349,The Last House on Dead End Street
3350,The Last Wave
3351,Looking for Mr. Goodbar
3352,Mannaja
3353,Mirrors
3354,Murder in Peyton Place
3355,"New York, New York"
3356,Orca
3357,The Other Side of Midnight
3358,Parvarish
3359,Pete's Dragon
3360,Providence
3361,Pumping Iron
3362,Rabid
3363,"Race for Your Life, Charlie Brown"
3364,Raid on Entebbe
3365,The Rescuers
3366,Rollercoaster
3367,Rolling Thunder
3368,Saturday Night Fever
3369,The Sentinel
3370,The Serpent's Egg
3371,Shock Waves
3372,Si wang ta
3373,Sinbad and the Eye of the Tiger
3374,Slap Shot
3375,Snowbeast
3376,Soldaat van Oranje
3377,Sorcerer
3378,Maladolescenza
3379,The Spy Who Loved Me
3380,Star Wars
3381,Starship Invasions
3382,The Strange Case of the End of Civilization as We Know It
3383,Suspiria
3384,Sweet Revenge
3385,Tarantulas: The Deadly Cargo
3386,Telefon
3387,Twilight's Last Gleaming
3388,Valentino
3389,Victor Frankenstein
3390,Viva Knievel!
3391,"What a Nightmare, Charlie Brown!"
3392,Wizards
3393,The Incredible Hulk
3394,Sword of Justice
3395,L'albero degli zoccoli
3396,Are You in the House Alone?
3397,Autostop rosso sangue
3398,The Bermuda Depths
3399,The Big Sleep
3400,Big Wednesday
3401,Blue Movie
3402,The Boys from Brazil
3403,Buck Rogers in the 25th Century
3404,California Suite
3405,Capricorn One
3406,The Chant of Jimmie Blacksmith
3407,"Amore, piombo e furore"
3408,Coma
3409,Convoy
3410,Damien: Omen II
3411,Dawn of the Dead
3412,Days of Heaven
3413,Death on the Nile
3414,Deathsport
3415,The Deer Hunter
3416,Dona Flor e Seus Dois Maridos
3417,Every Which Way But Loose
3418,Eyes of Laura Mars
3419,F.I.S.T
3420,FM
3421,Fedora
3422,Wu du
3423,Force 10 from Navarone
3424,Foul Play
3425,The Fury
3426,The Glove
3427,Goin' South
3428,Grease
3429,Halloween
3430,Heaven Can Wait
3431,The Hills Have Eyes
3432,The Hobbit
3433,Höstsonaten
3434,Day of the Woman
3435,I Wanna Hold Your Hand
3436,The Initiation of Sarah
3437,Interiors
3438,Invasion of the Body Snatchers
3439,Joi Baba Felunath
3440,KISS Meets the Phantom of the Park
3441,Kasme Vaade
3442,Laserblast
3443,The Lord of the Rings
3444,Magic
3445,Mardi Gras Massacre
3446,Martin
3447,The Medusa Touch
3448,Midnight Express
3449,Moment by Moment
3450,La montagna del dio cannibale
3451,Animal House
3452,Les raisins de la mort
3453,Petey Wheatstraw
3454,Piranha
3455,The President's Mistress
3456,Pretty Baby
3457,Préparez vos mouchoirs
3458,Return from Witch Mountain
3459,Sasquatch: The Legend of Bigfoot
3460,Seeta Aur Geeta
3461,Sella d'argento
3462,Semi-Tough
3463,Sgt. Pepper's Lonely Hearts Club Band
3464,Shalimar
3465,Shao Lin san shi liu fang
3466,Se ying diu sau
3467,Straight Time
3468,Stranger in Our House
3469,Superman
3470,Sekai meisaku dôwa: Hakuchô no mizûmi
3471,The Thirty-Nine Steps
3472,Tobi
3473,The Toolbox Murders
3474,Ultimo mondo cannibale
3475,Up in Smoke
3476,Watership Down
3477,Who Is Killing the Great Chefs of Europe?
3478,The Wild Geese
3479,Witch's Night Out
3480,Within the Woods
3481,The Wiz
3482,Real People
3483,...and justice for all.
3484,10
3485,1941
3486,The Concorde... Airport '79
3487,Alien
3488,Alien 2 - Sulla Terra
3489,All That Jazz
3490,Americathon
3491,Apocalypse Now
3492,Arrebato
3493,The Attic
3494,Being There
3495,The Bell Jar
3496,Beneath the Valley of the Ultra-Vixens
3497,Beyond the Poseidon Adventure
3498,Birth of the Beatles
3499,The Black Hole
3500,Die Blechtrommel
3501,Bloodrage
3502,Breaking Away
3503,The Brood
3504,Bugs Bunny's Christmas Carol
3505,Caniche
3506,Cannibal Holocaust
3507,The Champ
3508,Chapter Two
3509,The China Syndrome
3510,Circle of Iron
3511,Cuba
3512,¡Que Viva Mexico! - Da zdravstvuyet Meksika!
3513,Dracula
3514,The Driller Killer
3515,Die dritte Generation
3516,Die Ehe der Maria Braun
3517,Escape from Alcatraz
3518,Fascination
3519,Fast Company
3520,Feng hou
3521,Il fiume del grande caimano
3522,The Frisco Kid
3523,Fukushû suru wa ware ni ari
3524,Going in Style
3525,Good Guys Wear Black
3526,The First Great Train Robbery
3527,Hair
3528,Saturn 3
3529,The Jericho Mile
3530,The Jerk
3531,Kramer vs. Kramer
3532,The Lady Vanishes
3533,Last Embrace
3534,Life of Brian
3535,The Little Convict
3536,Love at First Bite
3537,Mad Max
3538,Manhattan
3539,Meatballs
3540,Moonraker
3541,Mr. Mike's Mondo Video
3542,The Muppet Movie
3543,My Brilliant Career
3544,Nocturna
3545,Norma Rae
3546,The North Avenue Irregulars
3547,North Dallas Forty
3548,Nosferatu: Phantom der Nacht
3549,Over the Edge
3550,Phantasm
3551,The Plumber
3552,The Prize Fighter
3553,Prophecy
3554,Quadrophenia
3555,Quintet
3556,Real Life
3557,The Riddle of the Sands
3558,Rock 'n' Roll High School
3559,Rocky II
3560,Rupan sansei: Kariosutoro no shiro
3561,The Sacketts
3562,Salem's Lot
3563,Savage Weekend
3564,The Seekers
3565,Shao Lin si
3566,Solo Sunny
3567,Stalker
3568,Starcrash
3569,Suhaag
3570,Tess
3571,Thirst
3572,Time After Time
3573,Tom Horn
3574,Tourist Trap
3575,Zombi 2
3576,L'umanoide
3577,Vampire
3578,Wanda Nevada
3579,The Wanderers
3580,The Warriors
3581,Woyzeck
3582,"You're the Greatest, Charlie Brown"
3583,Zui quan
3584,Zulu Dawn
3585,The Flame Trees of Thika
3586,That's Incredible!
3587,Tinker Tailor Soldier Spy
3588,'Breaker' Morant
3589,Nine to Five
3590,Airplane!
3591,Alligator
3592,Altered States
3593,American Gigolo
3594,Any Which Way You Can
3595,Apocalypse domani
3596,"Atlantic City, USA"
3597,Bad Timing
3598,Battle Beyond the Stars
3599,The Big Red One
3600,Black Cat (Gatto nero)
3601,Blade on the Feather
3602,The Blues Brothers
3603,"Bon Voyage, Charlie Brown (and Don't Come Back!!)"
3604,The Boogey Man
3605,Borderline
3606,Bronco Billy
3607,Brubaker
3608,Burebista
3609,Caddyshack
3610,Caligola
3611,La casa sperduta nel parco
3612,The Changeling
3613,Cheech and Chong's Next Movie
3614,The Children
3615,La città delle donne
3616,Cruising
3617,Death Car on the Freeway
3618,Death Ship
3619,Do Aur Do Paanch
3620,The Dogs of War
3621,Don't Answer the Phone!
3622,Don't Go in the House
3623,Dressed to Kill
3624,The Earthling
3625,The Elephant Man
3626,Star Wars: Episode V - The Empire Strikes Back
3627,The Exterminator
3628,The Falls
3629,The Fiendish Plot of Dr. Fu Manchu
3630,The Final Countdown
3631,The First Deadly Sin
3632,"Fist of Fear, Touch of Death"
3633,Flash Gordon
3634,The Fog
3635,Forbidden Zone
3636,The Formula
3637,Friday the 13th
3638,Fukkatsu no hi
3639,The Gods Must Be Crazy
3640,Golem
3641,Hawk the Slayer
3642,He Knows You're Alone
3643,Heaven's Gate
3644,The Hollywood Knights
3645,Humanoids from the Deep
3646,The Hunter
3647,Image of the Beast
3648,In God We Tru$t
3649,Inferno
3650,The Jayne Mansfield Story
3651,Kagemusha
3652,Le lac des morts vivants
3653,The Lathe of Heaven
3654,Little Darlings
3655,The Long Good Friday
3656,The Long Riders
3657,Luca il contrabbandiere
3658,Maniac
3659,Meera
3660,Melvin and Howard
3661,Midnight Madness
3662,The Mirror Crack'd
3663,La mort en direct
3664,Motel Hell
3665,The Mountain Men
3666,The Music of Erich Zann
3667,My Bodyguard
3668,Navajeros
3669,Night of the Demon
3670,The Ninth Configuration
3671,Le notti del terrore
3672,La nuit des traquées
3673,The Octagon
3674,Ordinary People
3675,Paura nella città dei morti viventi
3676,Phobia
3677,Popeye
3678,Private Benjamin
3679,The Private Eyes
3680,Prom Night
3681,Raging Bull
3682,Roadie
3683,Scanners
3684,La seducción
3685,Seems Like Old Times
3686,Shaan
3687,Shao Lin da peng da shi
3688,The Shining
3689,The Silent Scream
3690,Somewhere in Time
3691,Stir Crazy
3692,The Stunt Man
3693,The Tempest
3694,Tendres cousines
3695,Terror Train
3696,Time Bandits
3697,Times Square
3698,3 hommes à abattre
3699,Tsigoineruwaizen
3700,L'ultimo squalo
3701,Urban Cowboy
3702,Used Cars
3703,The Watcher in the Woods
3704,Where the Buffalo Roam
3705,Windwalker
3706,Without Warning
3707,Xanadu
3708,You Better Watch Out
3709,North Sea Hijack
3710,Absence of Malice
3711,The Amateur
3712,American Pop
3713,An American Werewolf in London
3714,The Archer: Fugitive from the Empire
3715,Arthur
3716,Beau-père
3717,Bloody Birthday
3718,Blow Out
3719,Body Heat
3720,Das Boot
3721,The Bunker
3722,The Burning
3723,Carbon Copy
3724,Chariots of Fire
3725,Chashme Buddoor
3726,Nice Dreams
3727,Le choix des armes
3728,Conan the Barbarian
3729,Condorman
3730,Coup de torchon
3731,El crack
3732,Cutter's Way
3733,Czlowiek z zelaza
3734,Dark Night of the Scarecrow
3735,Dawn of the Mummy
3736,Dead & Buried
3737,Deadly Blessing
3738,Death Hunt
3739,Death Wish II
3740,Demonoid: Messenger of Death
3741,"Deprisa, deprisa"
3742,Docteur Jekyll et les femmes
3743,The Dorm That Dripped Blood
3744,Dragonslayer
3745,...E tu vivrai nel terrore! L'aldilà
3746,Ek Duuje Ke Liye
3747,The Entity
3748,Escape from New York
3749,Evilspeak
3750,Excalibur
3751,Eye of the Needle
3752,La femme d'à côté
3753,The Final Conflict
3754,Final Exam
3755,The Final Terror
3756,For Your Eyes Only
3757,The Fox and the Hound
3758,The French Lieutenant's Woman
3759,Friday the 13th Part 2
3760,The Funhouse
3761,Galaxy of Terror
3762,Gallipoli
3763,Ghost Story
3764,Gosti iz galaksije
3765,Graduation Day
3766,The Great Muppet Caper
3767,Gregory's Girl
3768,Antropophagus
3769,La guerre du feu
3770,Halloween II
3771,The Hand
3772,Happy Birthday to Me
3773,Heartbeeps
3774,Heavy Metal
3775,Hell Night
3776,History of the World: Part I
3777,Hospital Massacre
3778,The Howling
3779,Humongous
3780,The Incredible Shrinking Woman
3781,"It's Magic, Charlie Brown"
3782,Just Before Dawn
3783,"Ladies and Gentlemen, the Fabulous Stains"
3784,The Last Chase
3785,Looker
3786,"Looney, Looney, Looney Bugs Bunny Movie"
3787,Mad Max 2
3788,Madman
3789,Cannibal ferox
3790,Meantime
3791,Memoirs of a Survivor
3792,Mil gritos tiene la noche
3793,Mommie Dearest
3794,Montenegro
3795,Ms .45
3796,Murder Is Easy
3797,My Bloody Valentine
3798,My Dinner with Andre
3799,Naseeb
3800,Neighbors
3801,The Nesting
3802,Night School
3803,Night Warning
3804,Nighthawks
3805,Olivia
3806,On Golden Pond
3807,Outland
3808,Pennies from Heaven
3809,Piranha Part Two: The Spawning
3810,Pixote: A Lei do Mais Fraco
3811,Polyester
3812,The Prowler
3813,Quella villa accanto al cimitero
3814,Ragtime
3815,Raiders of the Lost Ark
3816,Reds
3817,Reborn
3818,Roadgames
3819,S.O.B.
3820,Saturday the 14th
3821,Sharky's Machine
3822,Shock Treatment
3823,Silsila
3824,Some Kind of Hero
3825,La soupe aux choux
3826,Southern Comfort
3827,St. Helens
3828,Stripes
3829,Student Bodies
3830,Die Säge des Todes
3831,Taps
3832,Thief
3833,This House Possessed
3834,Timon of Athens
3835,Under the Rainbow
3836,Victory
3837,Visiting Hours
3838,Wolfen
3839,Zorro: The Gay Blade
3840,The Blue and the Gray
3841,Brideshead Revisited
3842,Smiley's People
3843,Voyagers!
3844,The Young Ones
3845,48 Hrs.
3846,Airplane II: The Sequel
3847,Alone in the Dark
3848,Amityville II: The Possession
3849,Android
3850,Antonieta
3851,Arth
3852,Attack Force Z
3853,La balance
3854,Barbarosa
3855,Basket Case
3856,The Beast Within
3857,The Beastmaster
3858,Blade Runner
3859,Blood Link
3860,Brimstone & Treacle
3861,Britannia Hospital
3862,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales
3863,Cat People
3864,Class of 1984
3865,Creepshow
3866,Cymbeline
3867,Danton
3868,The Dark Crystal
3869,Dead Men Don't Wear Plaid
3870,Deadly Eyes
3871,Deadly Games
3872,Deathtrap
3873,"I, Desire"
3874,Don't Go to Sleep
3875,The Draughtsman's Contract
3876,E.T. the Extra-Terrestrial
3877,Eating Raoul
3878,Egymásra nézve
3879,Endangered Species
3880,The Evil Dead
3881,Evil Under the Sun
3882,The Executioner's Song
3883,Fanny och Alexander
3884,Fast Times at Ridgemont High
3885,Fighting Back
3886,Who Dares Wins
3887,Firefox
3888,First Blood
3889,Fitzcarraldo
3890,The Flight of Dragons
3891,Forbidden World
3892,Forced Vengeance
3893,Friday the 13th Part III
3894,Frightmare
3895,Gandhi
3896,Grease 2
3897,Rosso sangue
3898,Hajji Washington
3899,Heat and Dust
3900,Hey Good Lookin'
3901,Inseminoid
3902,The House Where Evil Dwells
3903,Human Highway
3904,"I, the Jury"
3905,Laberinto de pasiones
3906,The Last American Virgin
3907,The Last Unicorn
3908,Long zhi ren zhe
3909,Made in Britain
3910,Making Love
3911,The Man from Snowy River
3912,Manhattan Baby
3913,Les maîtres du temps
3914,Megaforce
3915,La morte vivante
3916,My Favorite Year
3917,Class Reunion
3918,Night Shift
3919,An Officer and a Gentleman
3920,Pink Floyd: The Wall
3921,The Pirate Movie
3922,The Plague Dogs
3923,Poltergeist
3924,Porky's
3925,Q
3926,Querelle
3927,Le retour de Martin Guerre
3928,"Reuben, Reuben"
3929,Rocky III
3930,Satte Pe Satta
3931,Savannah Smiles
3932,The Secret of NIMH
3933,Shakti
3934,Silent Rage
3935,The Slumber Party Massacre
3936,The Soldier
3937,Sophie's Choice
3938,Lo squartatore di New York
3939,Star Trek: The Wrath of Khan
3940,Starstruck
3941,Still of the Night
3942,Summer Lovers
3943,Superstition
3944,The Sword and the Sorcerer
3945,Tag: The Assassination Game
3946,Tenebre
3947,El tesoro de las cuatro coronas
3948,They Call Me Bruce?
3949,The Thing
3950,Time Walker
3951,Tootsie
3952,La traviata
3953,TRON
3954,Une chambre en ville
3955,The Verdict
3956,Victor Victoria
3957,Vidhaata
3958,Vigilante
3959,Waga seishun no Arcadia
3960,Warlords of the 21st Century
3961,We of the Never Never
3962,White Dog
3963,The World According to Garp
3964,Ren zhe wu di
3965,Yol
3966,The Black Adder
3967,The Hitchhiker
3968,My Cousin Rachel
3969,The Thorn Birds
3970,V
